Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C27, C28, C29, C3, C6, C7",0603,9,22uF 6.3V,C59461
"C10, C11, C16, C17, C18, C19, C23, C24, C26, C4, C8, C9",0402,12,0.1uF 16V,C1525
"C12, C13, C2, C20, C21, C5",0805,6,22uF 25V,C45783
"C22, C25",0402,2,1uF 25V, C52923
D1,D_SMA,1,SS34,C8678
"R1, R3, R5, R7",0603,4,10k,C25804
"R2, R4",0603,2,1k 1%,C21190
"R8, R9",0603,2,4.7k,C23162
U2,SOT-23-6,1,SX1308,C78162
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
"U4, U5, U6, U7",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,4,DRV8837,C39159
U8,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A20xxxDQN,C2878130
U9,InvenSense_QFN-24_3x3mm_P0.4mm,1,MPU-6500,C50278
