Designator,Mid X,Mid Y,Rotation,Layer
C1,145.5475,-128.626,90.0,top
C10,146.175,-145.441,180.0,top
C11,137.539,-145.415,180.0,top
C12,146.899,-146.965,180.0,top
C13,138.263,-146.939,180.0,top
C14,155.448,-143.383,180.0,top
C15,164.211,-143.383,180.0,top
C16,157.48,-143.637,90.0,top
C17,166.243,-143.637,90.0,top
C18,154.686,-145.415,180.0,top
C19,163.322,-145.415,180.0,top
C2,153.1675,-132.878,270.0,top
C20,155.514,-146.939,180.0,top
C21,164.084,-146.939,180.0,top
C22,149.298,-112.752,0.0,top
C23,150.822,-112.399,270.0,top
C24,149.806,-107.188,90.0,top
C25,151.838,-112.399,270.0,top
C26,149.324,-109.498,180.0,top
C27,142.367,-79.007,90.0,top
C28,140.843,-79.007,90.0,top
C29,139.319,-79.007,90.0,top
C3,159.1635,-125.299,180.0,top
C4,156.7515,-125.578,180.0,top
C5,151.6435,-128.626,90.0,top
C6,146.698,-143.383,180.0,top
C7,138.062,-143.383,180.0,top
C8,148.743,-143.609,90.0,top
C9,140.081,-143.609,90.0,top
D1,148.336,-132.334,180.0,top
R1,146.0555,-125.451,90.0,top
R2,148.0875,-125.515,90.0,top
R3,151.9605,-125.959,0.0,top
R4,149.6115,-125.515,90.0,top
R5,151.9605,-124.435,0.0,top
R7,145.288,-106.426,0.0,top
R8,157.988,-106.426,180.0,top
R9,154.94,-106.426,0.0,top
U2,148.3415,-128.692,0.0,top
U3,158.2615,-130.506,90.0,top
U4,141.377,-146.177,90.0,top
U5,150.001,-146.243,90.0,top
U6,158.623,-146.238,90.0,top
U7,167.263,-146.238,90.0,top
U8,149.298,-111.411,180.0,top
U9,152.4,-109.22,270.0,top
